Time,Direction,LongStop,ShortStop
1714200300.0,1,136.03999999999996,136.84000000000003
1714200600.0,1,136.03999999999996,136.84000000000003
1714200900.0,1,136.03999999999996,136.7
1714201200.0,1,136.03999999999996,136.7
1714201500.0,1,136.03999999999996,136.7
1714201800.0,1,136.03999999999996,136.7
1714202100.0,1,136.03999999999996,137.35999999999999
1714202400.0,1,136.09999999999997,137.02000000000004
1714202700.0,1,136.36999999999998,136.97
1714203000.0,1,136.36999999999998,136.97
1714203300.0,1,136.36999999999998,136.94000000000003
1714203600.0,1,136.36999999999998,136.76000000000002
1714203900.0,1,136.36999999999998,136.76000000000002
1714204200.0,-1,136.36999999999998,136.76000000000002
1714204500.0,-1,135.51000000000002,136.76000000000002
1714204800.0,-1,135.51000000000002,136.73000000000002
1714205100.0,-1,135.58,136.49999999999997
1714205400.0,-1,135.58,136.49999999999997
1714205700.0,1,135.58,136.49999999999997
1714206000.0,1,135.9,137.29999999999998
1714206300.0,1,136.17,137.29
1714206600.0,1,136.17,137.23000000000002
1714206900.0,1,136.17,137.08
1714207200.0,1,136.17,136.64
1714207500.0,-1,136.17,136.63000000000002
1714207800.0,-1,135.56000000000003,136.63000000000002
1714208100.0,-1,135.81,136.41000000000003
1714208400.0,-1,135.81,136.41000000000003
1714208700.0,-1,135.81,136.41000000000003
1714209000.0,-1,135.81,136.33
1714209300.0,-1,135.81,136.33
1714209600.0,-1,135.81,136.33
1714209900.0,-1,135.85000000000005,136.33
1714210200.0,1,135.85000000000005,137.45000000000002
1714210500.0,1,135.85000000000005,137.02999999999994
1714210800.0,1,135.85000000000005,137.02999999999994
1714211100.0,1,135.92999999999998,136.77
1714211400.0,1,135.92999999999998,136.77
1714211700.0,1,135.92999999999998,136.57999999999998
1714212000.0,1,135.92999999999998,136.57999999999998
1714212300.0,1,135.92999999999998,136.57999999999998
1714212600.0,1,135.92999999999998,136.57999999999998
1714212900.0,1,135.92999999999998,136.57999999999998
1714213200.0,1,135.92999999999998,136.57999999999998
1714213500.0,1,135.96999999999994,136.49000000000004
1714213800.0,-1,135.96999999999994,136.49000000000004
1714214100.0,-1,135.47000000000003,136.30999999999995
1714214400.0,-1,135.47000000000003,136.27999999999997
1714214700.0,-1,135.47000000000003,136.27999999999997
1714215000.0,-1,135.47000000000003,136.27999999999997
1714215300.0,-1,135.47000000000003,136.18999999999997
1714215600.0,-1,135.47000000000003,136.18999999999997
1714215900.0,-1,135.47000000000003,136.18999999999997
1714216200.0,-1,134.96,136.18999999999997
1714216500.0,-1,134.96,136.18999999999997
1714216800.0,-1,134.96,136.18999999999997
1714217100.0,-1,135.6,136.18999999999997
1714217400.0,-1,135.6,136.18999999999997
1714217700.0,1,135.6,136.18999999999997
1714218000.0,1,135.88,137.0
1714218300.0,1,135.88,136.97
1714218600.0,1,135.88,136.47
1714218900.0,1,135.88,136.34999999999997
1714219200.0,1,135.88,136.34999999999997
1714219500.0,1,135.88,136.34999999999997
1714219800.0,1,136.29999999999995,137.98000000000002
1714220100.0,1,136.29999999999995,137.98000000000002
1714220400.0,1,136.51999999999998,137.98000000000002
1714220700.0,1,136.51999999999998,137.98000000000002
1714221000.0,1,136.51999999999998,137.80999999999997
1714221300.0,1,136.51999999999998,137.80999999999997
1714221600.0,1,137.01,137.76999999999998
1714221900.0,1,137.01,137.76999999999998
1714222200.0,1,136.15000000000003,137.76999999999998
1714222500.0,1,137.11999999999998,137.56000000000003
1714222800.0,1,137.11999999999998,137.56000000000003
1714223100.0,1,137.11999999999998,137.56000000000003
1714223400.0,1,137.11999999999998,137.56000000000003
1714223700.0,1,137.14,138.26
1714224000.0,1,137.14,138.26
1714224300.0,1,137.14,139.99
1714224600.0,1,137.27000000000004,138.98999999999995
1714224900.0,1,137.27000000000004,138.98999999999995
1714225200.0,1,137.96,138.98999999999995
1714225500.0,1,137.96,138.98999999999995
1714225800.0,1,138.07,138.98999999999995
1714226100.0,1,138.54,139.29999999999998
1714226400.0,1,138.54,139.29999999999998
1714226700.0,1,138.54,139.23000000000002
1714227000.0,1,138.54,139.23000000000002
1714227300.0,1,138.54,140.86
1714227600.0,1,138.54,139.89999999999998
1714227900.0,1,138.54,139.43000000000004
1714228200.0,1,138.54,139.43000000000004
1714228500.0,1,138.56000000000003,139.35999999999999
1714228800.0,-1,138.56000000000003,139.35999999999999
1714229100.0,-1,137.39,138.99
1714229400.0,-1,137.39,138.69000000000005
1714229700.0,-1,137.43999999999997,138.69000000000005
1714230000.0,-1,137.43999999999997,138.69000000000005
1714230300.0,-1,137.43999999999997,138.69000000000005
1714230600.0,-1,137.77999999999997,138.69000000000005
1714230900.0,-1,137.77999999999997,138.69000000000005
1714231200.0,-1,137.77999999999997,138.69000000000005
1714231500.0,-1,137.77999999999997,138.49
1714231800.0,-1,137.77999999999997,138.49
1714232100.0,-1,137.77999999999997,138.49
1714232400.0,-1,136.77999999999997,138.49
1714232700.0,-1,136.77999999999997,138.24
1714233000.0,-1,136.99,137.90999999999997
1714233300.0,-1,137.04,137.90999999999997
1714233600.0,-1,137.04,137.90999999999997
1714233900.0,1,137.04,137.90999999999997
1714234200.0,1,137.09000000000003,138.89
1714234500.0,1,137.25,138.89
1714234800.0,1,137.57999999999998,138.89
1714235100.0,1,137.57999999999998,138.89
1714235400.0,1,137.57999999999998,138.89
1714235700.0,1,137.57999999999998,138.89
1714236000.0,1,137.68999999999997,138.77
1714236300.0,1,137.68999999999997,138.77
1714236600.0,1,137.68999999999997,138.77
1714236900.0,1,137.68999999999997,138.77
